,j0,j1,h0,h1,lr,noise,stim_noise,count_thresh,width_scaling,n_stim,EMD_IDR_STIM,EMD_IDR_UNIFORM,EMD_NDR_STIM,EMD_NDR_UNIFORM,IDR_CORRECT_BIAS_MSE,IDR_INCORRECT_BIAS_MSE,NDR_CORRECT_BIAS_MSE,NDR_INCORRECT_BIAS_MSE
93,0.1,3.0,0.1,0.2,0.005,0.0,0.0,0.9,1,300,0.052680789358780386,0.06778888868807673,0.04207564305894512,0.07518936729187073,0.010642974842134877,0.0010789415898773986,0.000981563205968221,0.009503542206381556
94,0.1,3.0,0.1,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.03975463902541418,0.07812208306046782,0.045522615352604115,0.07248716084771853,0.013907850313383402,0.001241436923292886,0.0024811903212489574,0.008308558328664012
95,0.1,3.0,0.1,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.03747286718338355,0.0802392407089921,0.05017692302186798,0.06885211306113292,0.01671653744306964,0.0014258388345045987,0.00245113850694218,0.01017401939822365
96,0.1,3.0,0.1,0.4,0.005,0.0,0.0,0.97,1,300,0.041821857787422215,0.09738110125043103,0.049855972069350364,0.06932975648508746,0.015590938082694794,0.0009703693479429443,0.0030276176392753868,0.007639668738289184
97,0.1,3.0,0.1,0.4,0.005,0.0,0.0,0.9,1,300,0.040186828680989106,0.09909990769713392,0.054042810856877885,0.06614420072112878,0.019359733498429597,0.0014887732720647105,0.0032912867697665856,0.010159318330196367
98,0.1,3.0,0.1,0.5,0.005,0.0,0.0,0.97,1,300,0.03985321632046929,0.09944527569094824,0.05256823019045687,0.06733590083688584,0.01764971936834576,0.0009265189119979557,0.003666877175655515,0.008086071982922396
99,0.1,3.0,0.1,0.5,0.005,0.0,0.0,0.9,1,300,0.03848224606344332,0.10128391447846595,0.056238833954136924,0.06472924058532278,0.0201391680167642,0.0014002377299411658,0.0038319295760792633,0.009591759534414865
100,0.1,3.0,0.30000000000000004,0.1,0.005,0.0,0.0,0.97,1,300,,,,,1.5698912467826945e-05,1.569891246782695e-05,,
101,0.1,3.0,0.30000000000000004,0.1,0.005,0.0,0.0,0.9,1,300,,,,,1.110528159181377e-05,1.1105281591813772e-05,,
102,0.1,3.0,0.30000000000000004,0.2,0.005,0.0,0.0,0.97,1,300,0.08452078236156485,0.03331039339002811,0.06417167785794145,0.05289926050280281,0.0005695411272344638,0.00021556132447088307,0.0001720000493542263,0.0005377606107713196
103,0.1,3.0,0.30000000000000004,0.2,0.005,0.0,0.0,0.9,1,300,0.08436203495704385,0.03399481135533296,0.06404614528119926,0.05317016039472249,0.0006904892641896856,0.0003659503488868156,7.652040535382304e-05,0.0008933230416557708
104,0.1,3.0,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.97,1,300,0.09150431022354007,0.02878280888199959,0.054986386732827935,0.0652022375188043,0.0004560717505160644,0.0006766106242105026,0.0001419437945117118,0.0010288170034480001
105,0.1,3.0,0.30000000000000004,0.30000000000000004,0.005,0.0,0.0,0.9,1,300,0.08993620568803379,0.03679493989560178,0.05543852071496856,0.06513118865247713,0.0007967935022212542,0.0010169636570609018,6.039834869350648e-05,0.0017670462978575017
106,0.1,3.0,0.30000000000000004,0.4,0.005,0.0,0.0,0.97,1,300,0.0789041094238992,0.0432640511699461,0.034485847850213504,0.08155362246507222,0.002814770717322162,0.001024952475930355,0.00012040746109026928,0.004900186568195707
